BuoyID, Time, Date, Lat, Long, Alt, Speed, Dir, Fix, Sat
300034012022250,18:14:42,8/2/2008,74.6095033333333,-172.238478333333,1.438745,0.879,207.59,1,7
300034012815320,18:17:35,8/2/2008,74.1109233333333,-128.066035,8.519644,1.6149,150.96,1,11
300034012917920,19:33:57,8/2/2008,76.5104783333333,-158.19012,-17.11821,1.1374,282.71,1,7
300034012022250,20:15:00,8/2/2008,74.600615,-172.25955,-10.45605,0.5578,233.69,1,8
300034012815320,20:17:35,8/2/2008,74.0939366666667,-128.052746666667,-10.8664,0.6835,201.89,1,10
300034012917920,21:33:47,8/2/2008,76.5108716666667,-158.177526666667,-16.77959,0.388,46.70,1,6
300034012022250,22:14:44,8/2/2008,74.5965016666667,-172.28727,5.197879,0.1068,38.25,1,5
300034012815320,22:17:01,8/2/2008,74.0874283333333,-128.080061666667,-3.430633,0.1849,52.18,1,10
300034012917920,23:34:07,8/2/2008,76.5122933333333,-158.13769,-12.41147,0.4016,91.96,1,5
300034012022250,0:15:14.,8/3/2008,74.5994733333333,-172.313756666667,-15.81392,0.4072,324.32,1,7
300034012815320,0:17:09.,8/3/2008,74.0911533333333,-128.105045,11.11184,0.5234,323.58,1,7
300034012917920,1:34:29.,8/3/2008,76.5115833333333,-158.104156666667,-2.366578,0.2629,102.60,1,6
300034012022250,2:15:23.,8/3/2008,74.6061533333333,-172.316348333333,-16.36912,0.4686,281.08,1,6
300034012815320,2:17:35.,8/3/2008,74.098535,-128.094383333333,5.920685,1.3773,163.96,1,7
300034012917920,3:34:06.,8/3/2008,76.511305,-158.084873333333,-3.595196,0.4264,122.11,1,5
300034012022250,4:14:46.,8/3/2008,74.6085683333333,-172.304578333333,1.371901,0.3661,181.06,1,8
300034012815320,4:17:35.,8/3/2008,74.10066,-128.054741666667,-2.29776,0.6643,112.66,1,7
300034012917920,5:34:05.,8/3/2008,76.517245,-158.06729,-6.942602,0.725,82.62,1,6
300034012022250,6:15:05.,8/3/2008,74.6054216666667,-172.296805,-10.95979,0.3092,228.98,1,5
300034012815320,6:17:06.,8/3/2008,74.0940183333333,-128.027733333333,35.91276,1.06,160.36,1,8
300034012917920,7:34:35.,8/3/2008,76.52526,-158.038633333333,-0.934974,0.5282,53.11,1,6
300034012022250,8:15:23.,8/3/2008,74.6028383333333,-172.312348333333,72.22417,9.3114,173.10,1,5
300034012815320,8:17:35.,8/3/2008,74.0847983333333,-128.035826666667,-3.513499,3.5168,312.61,1,12
300034012917920,9:34:24.,8/3/2008,76.5271466666667,-158.000676666667,2.599258,0.8353,124.68,1,6
300034012022250,10:15:29,8/3/2008,74.6057516666667,-172.341265,3.607386,0.3603,177.47,1,6
300034012815320,10:17:14,8/3/2008,74.08409,-128.065318333333,14.02213,0.0854,329.40,1,6
300034012917920,11:34:35,8/3/2008,76.5271016666667,-157.959935,5.75345,1.0215,113.28,1,6
300034012022250,12:15:39,8/3/2008,74.61543,-172.361981666667,17.99801,0.6057,345.26,1,8
300034012815320,12:17:35,8/3/2008,74.0915866666667,-128.082901666667,3.527261,1.3461,20.61,1,5
300034012917920,13:34:35,8/3/2008,76.5264133333333,-157.930915,5.412154,0.4738,119.71,1,5
300034012022250,14:15:01,8/3/2008,74.62657,-172.366021666667,-38.8171,0.4393,328.55,1,6
300034012815320,14:17:11,8/3/2008,74.1000733333333,-128.0627,-2.523276,0.8586,29.98,1,8
300034012917920,15:34:10,8/3/2008,76.5223916666667,-157.908656666667,1.17464,0.4248,154.11,1,6
300034012022250,16:14:57,8/3/2008,74.633875,-172.355435,-0.008148,2.9667,0.77,1,6
300034012815320,16:17:09,8/3/2008,74.10129,-128.021138333333,-4.26395,0.7901,59.72,1,7
300034012917920,17:34:23,8/3/2008,76.5192666666667,-157.897751666667,9.568076,0.9223,160.67,1,5
300034012022250,18:14:53,8/3/2008,74.6344066666667,-172.342043333333,4.954724,0.3824,355.97,1,6
300034012815320,18:17:34,8/3/2008,74.0947483333333,-127.985011666667,12.88299,0.5366,130.82,1,9
300034012917920,19:34:23,8/3/2008,76.52155,-157.890656666667,1.021245,3.3013,147.95,1,6
300034012815320,20:17:35,8/3/2008,74.08569,-127.984336666667,-5.840281,0.5347,216.04,1,9
300034012022250,20:14:53,8/3/2008,74.6326316666667,-172.351758333333,-1.031285,0.5769,194.35,1,6
300034012917920,21:34:26,8/3/2008,76.52535,-157.869718333333,1.056365,0.6007,120.26,1,7
300034012022250,22:15:29,8/3/2008,74.6342683333333,-172.382713333333,12.11054,0.7534,307.84,1,5
300034012815320,22:17:13,8/3/2008,74.0838333333333,-128.01259,-6.109017,0.3648,241.13,1,8
300034012917920,23:43:37,8/3/2008,76.52445,-157.827941666667,-2.173146,0.5845,116.84,0,6
300034012022250,0:15:22.,8/4/2008,74.6432016666667,-172.411248333333,0.657304,0.5089,341.99,1,7
300034012815320,0:17:15.,8/4/2008,74.0894516666667,-128.026141666667,2.831072,0.401,267.96,1,7
300034012022250,2:15:29.,8/4/2008,74.6540766666667,-172.408583333333,3.802159,1.4172,203.37,1,6
300034012815320,2:17:17.,8/4/2008,74.0942033333333,-128.025583333333,1.710258,0.1743,342.59,1,6
300034012917920,3:34:14.,8/4/2008,76.5061833333333,-157.776403333333,-6.321523,0.6571,177.32,1,8
300034012022250,4:15:04.,8/4/2008,74.6591016666667,-172.392978333333,3.439706,0.5682,136.45,1,5
300034012815320,4:17:11.,8/4/2008,74.098415,-128.007661666667,-2.605043,0.2569,27.82,1,9
300034012917920,5:34:29.,8/4/2008,76.496235,-157.778388333333,-2.932986,0.7121,150.06,1,5
300034012022250,6:15:35.,8/4/2008,74.6575133333333,-172.376231666667,-6.569305,0.3285,218.84,1,5
300034012815320,6:17:18.,8/4/2008,74.097495,-127.986608333333,6.211824,0.7072,127.30,1,8
